6:00;0
6:10;0
6:20;0
6:30;0
6:40;0
6:50;0
7:00;0
7:10;182
7:20;167
7:30;165
7:40;153
7:50;153
8:00;142
8:10;217
8:20;217
8:30;217
8:40;211
8:50;234
9:00;228
9:10;222
9:20;222
9:30;212
9:40;200
9:50;188
10:00;188
10:10;180
10:20;179
10:30;179
10:40;204
10:50;204
11:00;198
11:10;169
11:20;157
11:30;154
11:40;154
11:50;147
12:00;126
12:10;126
12:20;158
12:30;177
12:40;174
12:50;145
13:00;145
13:10;145
13:20;145
13:30;128
13:40;127
13:50;113
14:00;99
14:10;99
14:20;90
14:30;78
14:40;66
14:50;90
15:00;90
15:10;131
15:20;131
15:30;131
15:40;131
15:50;131
16:00;131
